cntry,stfdem,trstprl,trstplt,trstprt,trstlgl,trstplc,trstep,trstun,social_trust_index,social_trust_group,political_efficacy_index,efficacy_group,vote_clean,hincfel,lrscale,lr_group,eduyrs,agea,gndr
DE,8.0,10.0,7.0,6.0,10.0,8.0,7.0,8.0,7.333333333333333,High social trust,3.0,High efficacy,Voted,1.0,3.0,Left (0-3),19.0,56.0,2.0
DE,5.0,5.0,5.0,6.0,5.0,8.0,6.0,8.0,6.333333333333333,Medium social trust,2.5,Medium efficacy,Did not vote,1.0,0.0,Left (0-3),7.0,77.0,2.0
DE,7.0,5.0,3.0,3.0,8.0,10.0,3.0,3.0,6.666666666666667,High social trust,2.25,Low efficacy,Voted,2.0,5.0,Center (4-6),13.0,37.0,2.0
DE,4.0,3.0,3.0,2.0,6.0,6.0,6.0,6.0,4.333333333333333,Low social trust,2.75,Medium efficacy,Voted,2.0,4.0,Center (4-6),18.0,59.0,1.0
DE,7.0,7.0,3.0,4.0,8.0,7.0,4.0,4.0,7.0,High social trust,2.25,Low efficacy,Voted,2.0,6.0,Center (4-6),12.0,71.0,1.0
DE,9.0,7.0,5.0,5.0,10.0,10.0,5.0,5.0,5.666666666666667,Medium social trust,3.25,High efficacy,Voted,1.0,4.0,Center (4-6),16.0,68.0,1.0
DE,1.0,1.0,1.0,1.0,4.0,6.0,1.0,1.0,4.666666666666667,Low social trust,2.75,Medium efficacy,Voted,3.0,5.0,Center (4-6),13.0,56.0,1.0
DE,5.0,5.0,4.0,4.0,7.0,8.0,4.0,6.0,6.333333333333333,Medium social trust,2.0,Low efficacy,Voted,2.0,4.0,Center (4-6),14.0,51.0,1.0
DE,4.0,7.0,2.0,5.0,8.0,9.0,5.0,2.0,7.0,High social trust,1.75,Low efficacy,Voted,2.0,6.0,Center (4-6),17.0,60.0,2.0
DE,7.0,9.0,6.0,4.0,7.0,6.0,5.0,6.0,5.666666666666667,Medium social trust,3.0,High efficacy,Voted,1.0,5.0,Center (4-6),14.0,39.0,2.0
DE,8.0,4.0,9.0,9.0,3.0,9.0,9.0,9.0,5.666666666666667,Medium social trust,2.0,Low efficacy,Voted,1.0,4.0,Center (4-6),15.0,59.0,2.0
DE,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,4.666666666666667,Low social trust,2.6666666666666665,Medium efficacy,Voted,1.0,5.0,Center (4-6),14.0,46.0,2.0
DE,4.0,6.0,5.0,4.0,9.0,9.0,5.0,6.0,4.0,Low social trust,3.0,High efficacy,Voted,1.0,4.0,Center (4-6),10.0,44.0,2.0
DE,8.0,7.0,7.0,7.0,8.0,9.0,6.0,5.0,6.333333333333333,Medium social trust,3.5,High efficacy,Voted,1.0,6.0,Center (4-6),18.0,43.0,1.0
DE,5.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,3.3333333333333335,Low social trust,1.5,Low efficacy,Voted,2.0,5.0,Center (4-6),12.0,52.0,2.0
DE,8.0,7.0,6.0,6.0,6.0,7.0,5.0,6.0,6.0,Medium social trust,2.75,Medium efficacy,Voted,2.0,1.0,Left (0-3),14.0,60.0,2.0
